pair,i_py,j_ml,center_dist,py_noise_sigma,py_n_spikes,py_snr_median,py_snr_p90,py_snr_max,py_spectral_hf_snr,py_psd_floor,ml_noise_sigma,ml_n_spikes,ml_snr_median,ml_snr_p90,ml_snr_max,ml_spectral_hf_snr,ml_psd_floor,corr_raw,corr_hp,coh_hi
106,106,214,0.000,0.0301503,18,4.45402,4.76534,5.41485,1.27397,1.72816e-06,0.0301503,18,4.45402,4.76534,5.41485,1.27397,1.72816e-06,1,1,1
107,107,32,0.000,0.0351607,11,4.46534,5.10343,5.33803,1.37012,2.38728e-06,0.0351607,11,4.46534,5.10343,5.33803,1.37012,2.38728e-06,1,1,1
108,108,28,0.000,0.049913,29,4.67333,5.43219,6.44207,1.42167,4.30686e-06,0.049913,29,4.67333,5.43219,6.44207,1.42167,4.30686e-06,1,1,1
109,109,223,0.000,0.0611315,6,4.11775,4.74554,5.02011,0.618746,7.90112e-06,0.0611315,6,4.11775,4.74554,5.02011,0.618746,7.90112e-06,1,1,1
110,110,258,0.000,0.141468,24,9.28648,11.3142,11.9124,3.08945,4.19273e-05,0.141468,24,9.28648,11.3142,11.9124,3.08945,4.19273e-05,1,1,1
111,111,287,0.000,0.0229584,9,4.22809,4.97502,5.67372,1.48134,9.34841e-07,0.0229584,9,4.22809,4.97502,5.67372,1.48134,9.34841e-07,1,1,1
112,112,350,0.000,0.169698,13,5.24792,7.2188,7.62868,1.09807,5.79043e-05,0.169698,13,5.24792,7.2188,7.62868,1.09807,5.79043e-05,1,1,1
113,113,16,0.000,0.0232334,8,4.25536,4.82817,5.83466,1.30166,9.64185e-07,0.0232334,8,4.25536,4.82817,5.83466,1.30166,9.64185e-07,1,1,1
114,114,224,0.000,0.0539941,12,4.26751,4.63174,4.68455,0.430893,6.69468e-06,0.0539941,12,4.26751,4.63174,4.68455,0.430893,6.69468e-06,1,1,1
115,115,273,0.000,0.0461058,11,4.18262,4.63704,5.11915,0.715712,4.27341e-06,0.0461058,11,4.18262,4.63704,5.11915,0.715712,4.27341e-06,1,1,1
116,116,12,0.000,0.0313892,8,4.26412,4.7406,4.98096,1.16365,1.85867e-06,0.0313892,8,4.26412,4.7406,4.98096,1.16365,1.85867e-06,1,1,1
117,117,3,0.000,0.127136,25,5.01521,8.46033,9.63546,1.62855,3.07138e-05,0.127136,25,5.01521,8.46033,9.63546,1.62855,3.07138e-05,1,1,1
118,118,75,0.000,0.0406021,16,4.53796,5.20494,5.49713,1.37236,3.19079e-06,0.0406021,16,4.53796,5.20494,5.49713,1.37236,3.19079e-06,1,1,1
119,119,301,0.000,0.041548,24,4.85103,5.99699,6.78682,1.07544,3.44155e-06,0.041548,24,4.85103,5.99699,6.78682,1.07544,3.44155e-06,1,1,1
120,120,303,0.000,0.0499886,12,4.72519,5.01668,5.14939,0.714758,5.05293e-06,0.0499886,12,4.72519,5.01668,5.14939,0.714758,5.05293e-06,1,1,1
121,121,27,0.000,0.046022,2,4.38017,4.60404,4.66,0.777942,4.30115e-06,0.046022,2,4.38017,4.60404,4.66,0.777942,4.30115e-06,1,1,1
122,122,219,0.000,0.0535121,1,4.05961,4.05961,4.05961,0.251487,6.91602e-06,0.0535121,1,4.05961,4.05961,4.05961,0.251487,6.91602e-06,1,1,1
123,123,272,0.000,0.032699,32,4.91671,6.98563,8.15331,1.88143,2.05179e-06,0.032699,32,4.91671,6.98563,8.15331,1.88143,2.05179e-06,1,1,1
124,124,218,0.000,0.0537287,6,4.61028,4.94709,5.09194,0.451386,6.55657e-06,0.0537287,6,4.61028,4.94709,5.09194,0.451386,6.55657e-06,1,1,1
125,125,333,0.000,0.0700536,7,4.47785,4.90508,5.11283,0.514703,1.03358e-05,0.0700536,7,4.47785,4.90508,5.11283,0.514703,1.03358e-05,1,1,1
126,126,182,0.000,0.0332458,49,4.89223,5.78734,6.8972,1.89999,2.2586e-06,0.0332458,49,4.89223,5.78734,6.8972,1.89999,2.2586e-06,1,1,1
127,127,159,0.000,0.0178021,63,53.5972,56.7199,57.4586,0.0941731,9.94367e-06,0.0176341,63,53.287,56.4123,57.063,0.0966014,9.651e-06,0.999911,0.999941,0.999729
128,128,14,0.000,0.0408625,11,5.30463,5.95827,6.40913,1.37332,3.15188e-06,0.0408625,11,5.30463,5.95827,6.40913,1.37332,3.15188e-06,1,1,1
129,129,4,0.000,0.044587,2,4.13928,4.18956,4.20213,0.725914,4.11833e-06,0.044587,2,4.13928,4.18956,4.20213,0.725914,4.11833e-06,1,1,1
130,130,334,0.000,0.0663321,6,4.73588,5.41702,5.6558,0.565249,9.05342e-06,0.0663321,6,4.73588,5.41702,5.6558,0.565249,9.05342e-06,1,1,1
131,131,270,0.000,0.0204199,33,4.88749,6.6315,11.7935,2.79788,7.51661e-07,0.0204199,33,4.88749,6.6315,11.7935,2.79788,7.51661e-07,1,1,1
132,132,221,0.000,0.069617,0,nan,nan,nan,0.601008,8.97317e-06,0.069617,0,nan,nan,nan,0.601008,8.97317e-06,1,1,1
133,133,105,0.000,0.0255626,4,7.49692,7.62607,7.65591,0.802536,1.48941e-06,0.0255626,4,7.49692,7.62607,7.65591,0.802536,1.48941e-06,1,1,1
134,134,184,0.000,0.0413426,10,4.73679,5.56937,6.0118,1.39939,3.11834e-06,0.0413426,10,4.73679,5.56937,6.0118,1.39939,3.11834e-06,1,1,1
135,135,262,0.000,0.0163767,112,32.1558,37.3023,58.1651,0.136679,9.41613e-06,0.0163767,112,32.1558,37.3023,58.1651,0.136679,9.41613e-06,1,1,1
136,136,78,0.000,0.133926,8,5.11967,9.80024,10.4984,1.57923,3.28789e-05,0.133926,8,5.11967,9.80024,10.4984,1.57923,3.28789e-05,1,1,1
137,137,220,0.000,0.148467,6,4.86454,8.02431,9.13199,0.460387,4.98217e-05,0.148467,6,4.86454,8.02431,9.13199,0.460387,4.98217e-05,1,1,1
138,138,281,0.000,0.159087,38,7.76175,8.80175,11.0004,3.55271,4.54407e-05,0.159087,38,7.76175,8.80175,11.0004,3.55271,4.54407e-05,1,1,1
139,139,196,0.000,0.125118,17,9.85463,11.4014,12.5013,2.48748,3.14209e-05,0.125118,17,9.85463,11.4014,12.5013,2.48748,3.14209e-05,1,1,1
140,140,24,0.000,0.0489309,7,4.39107,5.01066,5.10529,0.987975,4.48713e-06,0.0489309,7,4.39107,5.01066,5.10529,0.987975,4.48713e-06,1,1,1
141,141,311,0.000,0.0326007,16,4.57339,6.61687,8.14049,1.78052,1.96724e-06,0.0326007,16,4.57339,6.61687,8.14049,1.78052,1.96724e-06,1,1,1
142,142,277,0.000,0.0300851,7,4.63353,4.79703,5.00799,0.949872,1.83069e-06,0.0300851,7,4.63353,4.79703,5.00799,0.949872,1.83069e-06,1,1,1
143,143,339,0.000,0.172073,50,5.59484,7.67298,9.44629,1.9869,6.26703e-05,0.172073,50,5.59484,7.67298,9.44629,1.9869,6.26703e-05,1,1,1
144,144,5,0.000,0.0561657,32,4.48623,5.34048,5.538,1.36539,6.17241e-06,0.0561657,32,4.48623,5.34048,5.538,1.36539,6.17241e-06,1,1,1
145,145,192,0.000,0.0437079,16,5.10486,6.38103,6.80906,1.63063,3.69438e-06,0.0437079,16,5.10486,6.38103,6.80906,1.63063,3.69438e-06,1,1,1
146,146,248,0.000,0.114397,33,6.40839,7.68991,11.1565,2.73014,2.32695e-05,0.114397,33,6.40839,7.68991,11.1565,2.73014,2.32695e-05,1,1,1
147,147,308,0.000,0.0415818,6,4.38344,4.98586,5.37867,0.993276,3.50239e-06,0.0415818,6,4.38344,4.98586,5.37867,0.993276,3.50239e-06,1,1,1
148,148,10,0.000,0.152467,25,4.99605,7.29313,7.95868,1.27229,4.98283e-05,0.152467,25,4.99605,7.29313,7.95868,1.27229,4.98283e-05,1,1,1
149,149,35,0.000,0.155709,80,5.27962,6.61269,8.99994,2.2393,5.14616e-05,0.155709,80,5.27962,6.61269,8.99994,2.2393,5.14616e-05,1,1,1
150,150,46,0.000,0.169631,23,7.48478,8.84121,11.417,2.34894,5.8159e-05,0.169631,23,7.48478,8.84121,11.417,2.34894,5.8159e-05,1,1,1
151,151,173,0.000,0.157181,32,5.38482,7.88992,8.57763,1.55296,5.35738e-05,0.157181,32,5.38482,7.88992,8.57763,1.55296,5.35738e-05,1,1,1
152,152,6,0.000,0.0634249,13,4.26737,4.65808,4.87796,1.07636,7.53022e-06,0.0634249,13,4.26737,4.65808,4.87796,1.07636,7.53022e-06,1,1,1
153,153,187,0.000,0.132031,31,5.43588,6.57736,9.60593,1.53446,3.45551e-05,0.132031,31,5.43588,6.57736,9.60593,1.53446,3.45551e-05,1,1,1
